attribute_id,product_id,drink_type,category_type,temperature,sweetness_level,bitterness_level,has_milk,has_caffeine,has_ice,flavor_notes,created_at,updated_at
1,1,coffee,espresso,hot,none,strong,0,1,0,"bold, intense, roasted","2025-11-30 14:48:38","2025-11-30 14:48:38"
2,2,coffee,espresso,cold,none,strong,0,1,1,"bold, intense, roasted","2025-11-30 14:48:38","2025-11-30 14:48:38"
3,3,coffee,cappuccino,cold,low,medium,1,1,1,"creamy, milky, smooth","2025-11-30 14:48:38","2025-11-30 14:48:38"
4,4,coffee,cappuccino,hot,low,medium,1,1,0,"creamy, milky, smooth","2025-11-30 14:48:38","2025-11-30 14:48:38"
5,5,coffee,latte,cold,medium,light,1,1,1,"caramel, sweet, creamy","2025-11-30 14:48:38","2025-11-30 14:48:38"
6,6,coffee,latte,hot,medium,light,1,1,0,"caramel, sweet, creamy","2025-11-30 14:48:38","2025-11-30 14:48:38"
7,7,coffee,americano,cold,none,medium,0,1,1,"clean, smooth, refreshing","2025-11-30 14:48:57","2025-11-30 14:48:57"
8,8,coffee,americano,cold,low,medium,0,1,1,"fruity, peach, refreshing","2025-11-30 14:48:57","2025-11-30 14:48:57"
9,9,coffee,americano,cold,low,medium,0,1,1,"fruity, apricot, refreshing","2025-11-30 14:48:57","2025-11-30 14:48:57"
10,10,coffee,americano,cold,low,medium,0,1,1,"fruity, sour, refreshing","2025-11-30 14:48:57","2025-11-30 14:48:57"
11,11,coffee,americano,hot,none,medium,0,1,0,"clean, smooth, bold","2025-11-30 14:48:57","2025-11-30 14:48:57"
12,12,coffee,latte,cold,medium,light,1,1,1,"nutty, almond, creamy","2025-11-30 14:49:40","2025-11-30 14:49:40"
13,13,coffee,latte,cold,medium,light,1,1,1,"creamy, milky, smooth","2025-11-30 14:49:40","2025-11-30 14:49:40"
14,14,coffee,latte,cold,high,light,1,1,1,"sweet, milky, condensed milk","2025-11-30 14:49:40","2025-11-30 14:49:40"
15,15,coffee,latte,cold,medium,light,1,1,1,"nutty, hazelnut, creamy","2025-11-30 14:49:40","2025-11-30 14:49:40"
16,16,coffee,latte,hot,medium,light,1,1,0,"creamy, milky, smooth","2025-11-30 14:49:40","2025-11-30 14:49:40"
17,17,tea,matcha-frappe,cold,high,light,1,0,1,"matcha, creamy, sweet","2025-11-30 14:49:40","2025-11-30 14:49:40"
18,18,chocolate,chocolate-frappe,cold,high,none,1,0,1,"chocolate, sweet, creamy","2025-11-30 14:49:40","2025-11-30 14:49:40"
19,19,coffee,traditional,cold,high,light,1,1,1,"coconut, sweet, creamy","2025-11-30 14:49:40","2025-11-30 14:49:40"
20,20,coffee,traditional,cold,high,light,1,1,1,"caramel, salty, sweet","2025-11-30 14:49:40","2025-11-30 14:49:40"
21,21,coffee,traditional,cold,high,light,1,1,1,"condensed milk, sweet","2025-11-30 14:49:40","2025-11-30 14:49:40"
22,22,coffee,traditional,hot,high,light,1,1,0,"condensed milk, sweet","2025-11-30 14:49:40","2025-11-30 14:49:40"
23,23,coffee,traditional,hot,none,strong,0,1,0,"bold, bitter, intense","2025-11-30 14:49:40","2025-11-30 14:49:40"
24,24,coffee,traditional,hot,medium,medium,1,1,0,"condensed milk, balanced","2025-11-30 14:49:40","2025-11-30 14:49:40"
25,25,coffee,traditional,cold,none,strong,0,1,1,"bold, bitter, intense","2025-11-30 14:49:40","2025-11-30 14:49:40"
26,26,coffee,traditional,cold,medium,medium,1,1,1,"condensed milk, balanced","2025-11-30 14:49:40","2025-11-30 14:49:40"
27,27,coffee,coldbrew,cold,none,medium,0,1,1,"smooth, clean, nutty","2025-11-30 14:49:40","2025-11-30 14:49:40"
28,28,coffee,coldbrew,cold,low,light,0,1,1,"citrus, fruity, refreshing","2025-11-30 14:49:40","2025-11-30 14:49:40"
29,29,tea,matcha,cold,medium,light,1,0,1,"earthy, creamy, green tea","2025-11-30 14:49:40","2025-11-30 14:49:40"
30,30,tea,matcha,hot,medium,light,1,0,0,"earthy, creamy, green tea","2025-11-30 14:49:40","2025-11-30 14:49:40"
31,31,tea,matcha,hot,low,medium,1,0,0,"earthy, oat milk, nutty","2025-11-30 14:49:40","2025-11-30 14:49:40"
32,32,tea,matcha,cold,low,medium,1,0,1,"earthy, oat milk, nutty","2025-11-30 14:49:40","2025-11-30 14:49:40"
33,33,tea,matcha,cold,medium,light,1,0,1,"umami, creamy, premium","2025-11-30 14:49:40","2025-11-30 14:49:40"
34,34,tea,matcha,cold,high,light,1,0,1,"sweet, chewy, boba","2025-11-30 14:49:40","2025-11-30 14:49:40"
35,35,tea,fruit-tea,hot,medium,none,0,1,0,"fruity, peach, citrus, lemongrass","2025-11-30 14:49:40","2025-11-30 14:49:40"
36,36,tea,fruit-tea,cold,medium,none,0,1,1,"fruity, peach, citrus, lemongrass","2025-11-30 14:49:40","2025-11-30 14:49:40"
37,37,tea,oolong,hot,low,light,0,1,0,"floral, lotus seed, fragrant","2025-11-30 14:49:40","2025-11-30 14:49:40"
38,38,tea,oolong,cold,low,light,1,1,1,"floral, lotus seed, cheese foam","2025-11-30 14:49:40","2025-11-30 14:49:40"
39,39,tea,milk-tea,cold,high,light,1,1,1,"roasted, creamy, jelly","2025-11-30 14:49:40","2025-11-30 14:49:40"
40,40,tea,milk-tea,cold,high,light,1,1,1,"floral, creamy, jelly","2025-11-30 14:49:40","2025-11-30 14:49:40"
41,41,tea,milk-tea,hot,medium,light,1,1,0,"classic, creamy, black tea","2025-11-30 14:49:40","2025-11-30 14:49:40"
42,42,tea,milk-tea,cold,high,light,1,1,1,"classic, boba, sweet","2025-11-30 14:49:40","2025-11-30 14:49:40"
43,43,tea,black-tea,cold,medium,medium,1,1,1,"cheese foam, creamy, bold","2025-11-30 14:49:40","2025-11-30 14:49:40"
44,44,tea,milk-tea,cold,medium,light,1,1,1,"oolong, creamy, balanced","2025-11-30 14:49:40","2025-11-30 14:49:40"
45,45,chocolate,hot-chocolate,cold,high,none,1,0,1,"rich, creamy, cocoa","2025-11-30 14:49:40","2025-11-30 14:49:40"
46,46,chocolate,hot-chocolate,hot,high,none,1,0,0,"rich, creamy, cocoa","2025-11-30 14:49:40","2025-11-30 14:49:40"
47,47,food,pastry,room,medium,none,1,0,0,"buttery, flaky, sweet","2025-11-30 14:49:40","2025-11-30 14:49:40"
48,48,food,dessert,cold,high,none,1,0,0,"matcha, creamy, cheese","2025-11-30 14:49:40","2025-11-30 14:49:40"
49,49,food,dessert,cold,high,none,1,0,0,"creamy, cheese, burnt","2025-11-30 14:49:40","2025-11-30 14:49:40"
50,50,food,snack,room,high,none,0,0,0,"fruity, dried, chewy","2025-11-30 14:49:40","2025-11-30 14:49:40"
51,51,food,dessert,cold,high,none,1,0,0,"milk tea, mochi, boba","2025-11-30 14:49:40","2025-11-30 14:49:40"
52,52,food,dessert,cold,high,none,1,0,0,"raspberry, mochi, fruity","2025-11-30 14:49:40","2025-11-30 14:49:40"
53,53,food,dessert,cold,high,none,1,0,0,"blueberry, mochi, fruity","2025-11-30 14:49:40","2025-11-30 14:49:40"
54,54,food,dessert,cold,high,none,1,0,0,"chocolate, mochi, sweet","2025-11-30 14:49:40","2025-11-30 14:49:40"
55,55,food,dessert,cold,high,none,1,0,0,"matcha, mochi, green tea","2025-11-30 14:49:40","2025-11-30 14:49:40"
56,56,food,dessert,cold,medium,light,1,1,0,"coffee, creamy, tiramisu","2025-11-30 14:49:40","2025-11-30 14:49:40"
57,57,food,dessert,cold,high,none,1,0,0,"chocolate, cute, sweet","2025-11-30 14:49:40","2025-11-30 14:49:40"
58,58,food,pastry,room,none,none,1,0,0,"buttery, flaky, plain","2025-11-30 15:08:38","2025-11-30 15:08:38"
59,59,food,savory,hot,none,none,1,0,0,"spicy, cheese, meat floss","2025-11-30 15:08:38","2025-11-30 15:08:38"
60,60,food,savory,hot,none,none,0,0,0,"umami, beef, mushroom","2025-11-30 15:08:38","2025-11-30 15:08:38"
61,61,food,savory,hot,none,none,0,0,0,"rich, pate, savory","2025-11-30 15:08:38","2025-11-30 15:08:38"
62,62,food,pastry,hot,none,none,1,0,0,"salty, egg yolk, buttery","2025-11-30 15:08:38","2025-11-30 15:08:38"
63,63,food,savory,room,none,none,1,0,0,"cheesy, meat floss, savory","2025-11-30 15:08:38","2025-11-30 15:08:38"
64,64,food,meal,hot,none,none,0,0,0,"tomato, beef, italian","2025-11-30 15:08:38","2025-11-30 15:08:38"
65,65,food,meal,hot,none,none,1,0,0,"butter, soy sauce, pork","2025-11-30 15:08:38","2025-11-30 15:08:38"
66,66,food,meal,hot,none,none,1,0,0,"cheesy, five cheese, rich","2025-11-30 15:08:38","2025-11-30 15:08:38"
67,67,food,meal,hot,none,none,1,0,0,"pepperoni, spicy, italian","2025-11-30 15:08:38","2025-11-30 15:08:38"
68,68,food,meal,hot,none,none,1,0,0,"beef, tomato sauce, savory","2025-11-30 15:08:38","2025-11-30 15:08:38"
69,69,food,salad,cold,low,none,0,0,0,"fresh, citrus, healthy","2025-11-30 15:08:38","2025-11-30 15:08:38"
70,70,food,salad,cold,low,none,0,0,0,"nutty, greens, fresh","2025-11-30 15:08:38","2025-11-30 15:08:38"
71,71,food,topping,room,none,none,1,0,0,"cheese foam, creamy","2025-11-30 15:08:38","2025-11-30 15:08:38"
72,72,food,topping,cold,medium,none,1,0,0,"taro, sweet, chewy","2025-11-30 15:08:38","2025-11-30 15:08:38"
73,73,food,topping,cold,medium,none,1,0,0,"egg, creamy, sweet","2025-11-30 15:08:38","2025-11-30 15:08:38"
74,74,food,topping,cold,high,none,0,0,0,"grass jelly, sweet, refreshing","2025-11-30 15:08:38","2025-11-30 15:08:38"
75,75,food,topping,cold,high,none,0,0,0,"chia seeds, sweet, healthy","2025-11-30 15:08:38","2025-11-30 15:08:38"
76,76,food,topping,cold,medium,none,0,0,0,"water chestnut, crunchy, refreshing","2025-11-30 15:08:38","2025-11-30 15:08:38"
77,77,food,topping,cold,medium,none,0,0,0,"pandan jelly, sweet, fragrant","2025-11-30 15:08:38","2025-11-30 15:08:38"
78,78,food,topping,cold,low,none,0,0,0,"aloe vera, refreshing, healthy","2025-11-30 15:08:38","2025-11-30 15:08:38"
79,79,food,topping,cold,high,none,0,0,0,"black pearl, chewy, sweet","2025-11-30 15:08:38","2025-11-30 15:08:38"
80,80,food,topping,cold,medium,none,0,0,0,"pandan pearl, chewy, fragrant","2025-11-30 15:08:38","2025-11-30 15:08:38"
81,81,food,topping,cold,medium,none,0,0,0,"white pearl, chewy, sweet","2025-11-30 15:08:38","2025-11-30 15:08:38"
